Model,Feature_Subset,Class_Type,Month,Accuracy,F1,N
SVM,RS_only,3class,Mixto,0.5038759689922481,0.3524370349097656,2967
RandomForest,RS_only,3class,Mixto,0.43815301651499833,0.348979599715813,2967
LogisticRegression,RS_only,3class,Mixto,0.48870913380519043,0.34112490283106395,2967
kNN,RS_only,3class,Mixto,0.482979440512302,0.35071047250456533,2967
NaiveBayes,RS_only,3class,Mixto,0.5153353555780249,0.35914325180243917,2967
SVM,RS_only,2class,Mixto,0.5463342017119464,0.5459317017692629,2687
RandomForest,RS_only,2class,Mixto,0.5280982508373651,0.5280872046317073,2687
LogisticRegression,RS_only,2class,Mixto,0.5258652772608857,0.5237040586553221,2687
kNN,RS_only,2class,Mixto,0.5474506885001861,0.5423743816422685,2687
NaiveBayes,RS_only,2class,Mixto,0.5552660960178638,0.5530312426354099,2687
SVM,Higuchi_only,3class,Mixto,0.5099427030670711,0.3594038452083405,2967
RandomForest,Higuchi_only,3class,Mixto,0.4499494438827098,0.3576143924017517,2967
LogisticRegression,Higuchi_only,3class,Mixto,0.5011796427367712,0.35295416017940145,2967
kNN,Higuchi_only,3class,Mixto,0.49646107178968657,0.3795826716861311,2967
NaiveBayes,Higuchi_only,3class,Mixto,0.5032018874283788,0.3780219915077437,2967
SVM,Higuchi_only,2class,Mixto,0.5679196129512467,0.5651093155979671,2687
RandomForest,Higuchi_only,2class,Mixto,0.5254931149981392,0.5253658441295572,2687
LogisticRegression,Higuchi_only,2class,Mixto,0.5541496092296241,0.5539889333618571,2687
kNN,Higuchi_only,2class,Mixto,0.5366579828805359,0.5317172544053278,2687
NaiveBayes,Higuchi_only,2class,Mixto,0.5545217714923707,0.5514600069588889,2687
SVM,DFA_only,3class,Mixto,0.5099427030670711,0.35385379824460617,2967
RandomForest,DFA_only,3class,Mixto,0.4263565891472868,0.3373300275030781,2967
LogisticRegression,DFA_only,3class,Mixto,0.4974721941354904,0.3494212214146626,2967
kNN,DFA_only,3class,Mixto,0.47691270643747896,0.340243101892864,2967
NaiveBayes,DFA_only,3class,Mixto,0.4981462756993596,0.3484214553086981,2967
SVM,DFA_only,2class,Mixto,0.5489393375511723,0.5453422995992656,2687
RandomForest,DFA_only,2class,Mixto,0.5187941942687011,0.5187771314455298,2687
LogisticRegression,DFA_only,2class,Mixto,0.5422404168217343,0.5417818794067832,2687
kNN,DFA_only,2class,Mixto,0.5396352809825083,0.535744001671636,2687
NaiveBayes,DFA_only,2class,Mixto,0.5422404168217343,0.5418032241428072,2687
SVM,Semivariograma_only,3class,Mixto,0.5180316818335019,0.3575375127635718,2967
RandomForest,Semivariograma_only,3class,Mixto,0.43242332322210986,0.3483818079998427,2967
LogisticRegression,Semivariograma_only,3class,Mixto,0.49679811257162115,0.34682604828045066,2967
kNN,Semivariograma_only,3class,Mixto,0.4897202561509943,0.3539941969459079,2967
NaiveBayes,Semivariograma_only,3class,Mixto,0.5025278058645096,0.35566876647098117,2967
SVM,Semivariograma_only,2class,Mixto,0.5682917752139933,0.5617211456906114,2687
RandomForest,Semivariograma_only,2class,Mixto,0.5225158168961668,0.5224300920681682,2687
LogisticRegression,Semivariograma_only,2class,Mixto,0.5474506885001861,0.5464374555792466,2687
kNN,Semivariograma_only,2class,Mixto,0.5403796055080015,0.5364946176754006,2687
NaiveBayes,Semivariograma_only,2class,Mixto,0.5541496092296241,0.5521621808120505,2687
SVM,HO_only,3class,Mixto,0.5220761712167172,0.36506823607660865,2967
RandomForest,HO_only,3class,Mixto,0.4418604651162791,0.3574965622955752,2967
LogisticRegression,HO_only,3class,Mixto,0.487360970677452,0.3397056442411057,2967
kNN,HO_only,3class,Mixto,0.5069093360296596,0.3595888063600598,2967
NaiveBayes,HO_only,3class,Mixto,0.5133131108864173,0.35889793184292057,2967
SVM,HO_only,2class,Mixto,0.5679196129512467,0.5677318568962313,2687
RandomForest,HO_only,2class,Mixto,0.5236323036844064,0.5234326329814947,2687
LogisticRegression,HO_only,2class,Mixto,0.524004465947153,0.5209659705724967,2687
kNN,HO_only,2class,Mixto,0.5690360997394864,0.5664128864393403,2687
NaiveBayes,HO_only,2class,Mixto,0.5537774469668776,0.5532306781749831,2687
SVM,HRS_only,3class,Mixto,0.5180316818335019,0.36155997628359043,2967
RandomForest,HRS_only,3class,Mixto,0.4320862824401753,0.34890005623153736,2967
LogisticRegression,HRS_only,3class,Mixto,0.48938321536905965,0.34037450182315815,2967
kNN,HRS_only,3class,Mixto,0.4728682170542636,0.3362591653695468,2967
NaiveBayes,HRS_only,3class,Mixto,0.48702392989551735,0.33933265281151054,2967
SVM,HRS_only,2class,Mixto,0.5764793449944176,0.5757289932289932,2687
RandomForest,HRS_only,2class,Mixto,0.5217714923706737,0.5214827901662686,2687
LogisticRegression,HRS_only,2class,Mixto,0.5351693338295497,0.5344448185277496,2687
kNN,HRS_only,2class,Mixto,0.5292147376256048,0.5266963844728292,2687
NaiveBayes,HRS_only,2class,Mixto,0.5377744696687756,0.5353774057738572,2687
SVM,HV_only,3class,Mixto,0.5180316818335019,0.3575375127635718,2967
RandomForest,HV_only,3class,Mixto,0.43242332322210986,0.3483818079998427,2967
LogisticRegression,HV_only,3class,Mixto,0.49679811257162115,0.34682604828045066,2967
kNN,HV_only,3class,Mixto,0.4897202561509943,0.3539941969459079,2967
NaiveBayes,HV_only,3class,Mixto,0.5025278058645096,0.35566876647098117,2967
SVM,HV_only,2class,Mixto,0.5682917752139933,0.5617211456906114,2687
RandomForest,HV_only,2class,Mixto,0.5225158168961668,0.5224300920681682,2687
LogisticRegression,HV_only,2class,Mixto,0.5474506885001861,0.5464374555792466,2687
kNN,HV_only,2class,Mixto,0.5403796055080015,0.5364946176754006,2687
NaiveBayes,HV_only,2class,Mixto,0.5541496092296241,0.5521621808120505,2687
SVM,All_Fractals,3class,Mixto,0.5760026963262554,0.4017889232532106,2967
RandomForest,All_Fractals,3class,Mixto,0.5739804516346478,0.41945509884893123,2967
LogisticRegression,All_Fractals,3class,Mixto,0.5510616784630941,0.3855760362820508,2967
kNN,All_Fractals,3class,Mixto,0.5517357600269632,0.4015067117442907,2967
NaiveBayes,All_Fractals,3class,Mixto,0.41287495786990225,0.3799988801339122,2967
SVM,All_Fractals,2class,Mixto,0.6393747673985858,0.6377852297175195,2687
RandomForest,All_Fractals,2class,Mixto,0.643468552288798,0.6434602066539239,2687
LogisticRegression,All_Fractals,2class,Mixto,0.6032750279121697,0.6032406822558947,2687
kNN,All_Fractals,2class,Mixto,0.6334201711946409,0.6309912449659775,2687
NaiveBayes,All_Fractals,2class,Mixto,0.582061778935616,0.5819496807509746,2687
SVM,RS_only,3class,Mes 1,0.5183673469387755,0.36273517346167505,980
RandomForest,RS_only,3class,Mes 1,0.4357142857142857,0.35184995785790046,980
LogisticRegression,RS_only,3class,Mes 1,0.5306122448979592,0.3723134868897581,980
kNN,RS_only,3class,Mes 1,0.49387755102040815,0.34720109602515237,980
NaiveBayes,RS_only,3class,Mes 1,0.5183673469387755,0.36209585329353544,980
SVM,RS_only,2class,Mes 1,0.5545454545454546,0.5513730875873298,880
RandomForest,RS_only,2class,Mes 1,0.5625,0.5623728485161623,880
LogisticRegression,RS_only,2class,Mes 1,0.5852272727272727,0.5843249615966477,880
kNN,RS_only,2class,Mes 1,0.5579545454545455,0.5555295874314279,880
NaiveBayes,RS_only,2class,Mes 1,0.5727272727272728,0.5689848321427269,880
SVM,Higuchi_only,3class,Mes 1,0.503061224489796,0.3535024965465083,980
RandomForest,Higuchi_only,3class,Mes 1,0.4530612244897959,0.36215660793421306,980
LogisticRegression,Higuchi_only,3class,Mes 1,0.49489795918367346,0.347253810978561,980
kNN,Higuchi_only,3class,Mes 1,0.5112244897959184,0.36667398190616235,980
NaiveBayes,Higuchi_only,3class,Mes 1,0.4969387755102041,0.3613233018253106,980
SVM,Higuchi_only,2class,Mes 1,0.5738636363636364,0.5737970421514725,880
RandomForest,Higuchi_only,2class,Mes 1,0.5261363636363636,0.5256898604187051,880
LogisticRegression,Higuchi_only,2class,Mes 1,0.5545454545454546,0.5538794998732612,880
kNN,Higuchi_only,2class,Mes 1,0.5420454545454545,0.5405021255534148,880
NaiveBayes,Higuchi_only,2class,Mes 1,0.5420454545454545,0.541049204173833,880
SVM,DFA_only,3class,Mes 1,0.5112244897959184,0.359324335794924,980
RandomForest,DFA_only,3class,Mes 1,0.4336734693877551,0.3451135861561922,980
LogisticRegression,DFA_only,3class,Mes 1,0.5163265306122449,0.3805018102607218,980
kNN,DFA_only,3class,Mes 1,0.47959183673469385,0.3544753317443598,980
NaiveBayes,DFA_only,3class,Mes 1,0.5336734693877551,0.37455310736955844,980
SVM,DFA_only,2class,Mes 1,0.5704545454545454,0.5702747533833887,880
RandomForest,DFA_only,2class,Mes 1,0.5,0.4986300376545416,880
LogisticRegression,DFA_only,2class,Mes 1,0.5704545454545454,0.5700192343488242,880
kNN,DFA_only,2class,Mes 1,0.5363636363636364,0.5337409290897663,880
NaiveBayes,DFA_only,2class,Mes 1,0.5806818181818182,0.5797696187100356,880
SVM,Semivariograma_only,3class,Mes 1,0.5204081632653061,0.36477598764069735,980
RandomForest,Semivariograma_only,3class,Mes 1,0.4163265306122449,0.3454537708071907,980
LogisticRegression,Semivariograma_only,3class,Mes 1,0.5081632653061224,0.3743733632622521,980
kNN,Semivariograma_only,3class,Mes 1,0.49489795918367346,0.3654349836284026,980
NaiveBayes,Semivariograma_only,3class,Mes 1,0.5418367346938775,0.40941802035049624,980
SVM,Semivariograma_only,2class,Mes 1,0.5818181818181818,0.580863433751469,880
RandomForest,Semivariograma_only,2class,Mes 1,0.5181818181818182,0.5175438596491229,880
LogisticRegression,Semivariograma_only,2class,Mes 1,0.5602272727272727,0.5592705757202813,880
kNN,Semivariograma_only,2class,Mes 1,0.5670454545454545,0.5645210939965788,880
NaiveBayes,Semivariograma_only,2class,Mes 1,0.5852272727272727,0.5852267371213031,880
SVM,HO_only,3class,Mes 1,0.5091836734693878,0.35993799201390037,980
RandomForest,HO_only,3class,Mes 1,0.44387755102040816,0.35003978025970534,980
LogisticRegression,HO_only,3class,Mes 1,0.5244897959183673,0.37392065973247934,980
kNN,HO_only,3class,Mes 1,0.5255102040816326,0.3712499492550643,980
NaiveBayes,HO_only,3class,Mes 1,0.5295918367346939,0.37446514837819184,980
SVM,HO_only,2class,Mes 1,0.5613636363636364,0.5580674035679344,880
RandomForest,HO_only,2class,Mes 1,0.5443181818181818,0.5426592585968473,880
LogisticRegression,HO_only,2class,Mes 1,0.5806818181818182,0.5791552778609392,880
kNN,HO_only,2class,Mes 1,0.5579545454545455,0.5576523735868123,880
NaiveBayes,HO_only,2class,Mes 1,0.575,0.5687427604027444,880
SVM,HRS_only,3class,Mes 1,0.5020408163265306,0.35668008674539503,980
RandomForest,HRS_only,3class,Mes 1,0.46224489795918366,0.38512337173451106,980
LogisticRegression,HRS_only,3class,Mes 1,0.523469387755102,0.36546177232854865,980
kNN,HRS_only,3class,Mes 1,0.4775510204081633,0.33693331405049926,980
NaiveBayes,HRS_only,3class,Mes 1,0.5091836734693878,0.35133640552995393,980
SVM,HRS_only,2class,Mes 1,0.5465909090909091,0.5392603653951887,880
RandomForest,HRS_only,2class,Mes 1,0.5352272727272728,0.5351546406398727,880
LogisticRegression,HRS_only,2class,Mes 1,0.5784090909090909,0.5742477808017673,880
kNN,HRS_only,2class,Mes 1,0.5352272727272728,0.5342161898439148,880
NaiveBayes,HRS_only,2class,Mes 1,0.5727272727272728,0.5609714673913043,880
SVM,HV_only,3class,Mes 1,0.5204081632653061,0.36477598764069735,980
RandomForest,HV_only,3class,Mes 1,0.4163265306122449,0.3454537708071907,980
LogisticRegression,HV_only,3class,Mes 1,0.5081632653061224,0.3743733632622521,980
kNN,HV_only,3class,Mes 1,0.49489795918367346,0.3654349836284026,980
NaiveBayes,HV_only,3class,Mes 1,0.5418367346938775,0.40941802035049624,980
SVM,HV_only,2class,Mes 1,0.5818181818181818,0.580863433751469,880
RandomForest,HV_only,2class,Mes 1,0.5181818181818182,0.5175438596491229,880
LogisticRegression,HV_only,2class,Mes 1,0.5602272727272727,0.5592705757202813,880
kNN,HV_only,2class,Mes 1,0.5670454545454545,0.5645210939965788,880
NaiveBayes,HV_only,2class,Mes 1,0.5852272727272727,0.5852267371213031,880
SVM,All_Fractals,3class,Mes 1,0.576530612244898,0.4053926659495815,980
RandomForest,All_Fractals,3class,Mes 1,0.5663265306122449,0.430756414721932,980
LogisticRegression,All_Fractals,3class,Mes 1,0.5571428571428572,0.40912835397628594,980
kNN,All_Fractals,3class,Mes 1,0.5653061224489796,0.4045953341444153,980
NaiveBayes,All_Fractals,3class,Mes 1,0.4520408163265306,0.4066019019523468,980
SVM,All_Fractals,2class,Mes 1,0.634090909090909,0.6340228554896572,880
RandomForest,All_Fractals,2class,Mes 1,0.6306818181818182,0.6297979033099432,880
LogisticRegression,All_Fractals,2class,Mes 1,0.6079545454545454,0.6067352418850284,880
kNN,All_Fractals,2class,Mes 1,0.6420454545454546,0.64053732667143,880
NaiveBayes,All_Fractals,2class,Mes 1,0.5931818181818181,0.5921622237411711,880
SVM,RS_only,3class,Mes 3,0.5527272727272727,0.42478841537494544,1100
RandomForest,RS_only,3class,Mes 3,0.48,0.39338608236964906,1100
LogisticRegression,RS_only,3class,Mes 3,0.4918181818181818,0.3951978724641168,1100
kNN,RS_only,3class,Mes 3,0.5672727272727273,0.4438789467164754,1100
NaiveBayes,RS_only,3class,Mes 3,0.5490909090909091,0.43071504686918477,1100
SVM,RS_only,2class,Mes 3,0.614,0.6136971385566283,1000
RandomForest,RS_only,2class,Mes 3,0.557,0.5569463905132521,1000
LogisticRegression,RS_only,2class,Mes 3,0.526,0.524812030075188,1000
kNN,RS_only,2class,Mes 3,0.616,0.6078687667472714,1000
NaiveBayes,RS_only,2class,Mes 3,0.595,0.5867848700004795,1000
SVM,Higuchi_only,3class,Mes 3,0.6545454545454545,0.46955486297736687,1100
RandomForest,Higuchi_only,3class,Mes 3,0.5809090909090909,0.46603936840864785,1100
LogisticRegression,Higuchi_only,3class,Mes 3,0.5709090909090909,0.39892819875896696,1100
kNN,Higuchi_only,3class,Mes 3,0.6363636363636364,0.46753812548389195,1100
NaiveBayes,Higuchi_only,3class,Mes 3,0.5972727272727273,0.4353932959585393,1100
SVM,Higuchi_only,2class,Mes 3,0.715,0.71496551082681,1000
RandomForest,Higuchi_only,2class,Mes 3,0.671,0.6709970389733508,1000
LogisticRegression,Higuchi_only,2class,Mes 3,0.63,0.6299940799052786,1000
kNN,Higuchi_only,2class,Mes 3,0.698,0.6957497652638918,1000
NaiveBayes,Higuchi_only,2class,Mes 3,0.657,0.6569831921764167,1000
SVM,DFA_only,3class,Mes 3,0.5863636363636363,0.44352789970767503,1100
RandomForest,DFA_only,3class,Mes 3,0.49272727272727274,0.4016810044586648,1100
LogisticRegression,DFA_only,3class,Mes 3,0.5490909090909091,0.4410046011102097,1100
kNN,DFA_only,3class,Mes 3,0.5409090909090909,0.4235300564414488,1100
NaiveBayes,DFA_only,3class,Mes 3,0.5454545454545454,0.4272178673634441,1100
SVM,DFA_only,2class,Mes 3,0.646,0.6451127819548872,1000
RandomForest,DFA_only,2class,Mes 3,0.565,0.5649891247281182,1000
LogisticRegression,DFA_only,2class,Mes 3,0.603,0.6025671956760913,1000
kNN,DFA_only,2class,Mes 3,0.601,0.5960225943854228,1000
NaiveBayes,DFA_only,2class,Mes 3,0.596,0.5931291190641164,1000
SVM,Semivariograma_only,3class,Mes 3,0.5981818181818181,0.44659530625337346,1100
RandomForest,Semivariograma_only,3class,Mes 3,0.5309090909090909,0.4469941938567476,1100
LogisticRegression,Semivariograma_only,3class,Mes 3,0.5654545454545454,0.43924317054325995,1100
kNN,Semivariograma_only,3class,Mes 3,0.5763636363636364,0.44702464679659176,1100
NaiveBayes,Semivariograma_only,3class,Mes 3,0.5609090909090909,0.43465647839517274,1100
SVM,Semivariograma_only,2class,Mes 3,0.651,0.650521564021145,1000
RandomForest,Semivariograma_only,2class,Mes 3,0.61,0.6099438319117954,1000
LogisticRegression,Semivariograma_only,2class,Mes 3,0.621,0.6209147058088069,1000
kNN,Semivariograma_only,2class,Mes 3,0.641,0.6382620051167285,1000
NaiveBayes,Semivariograma_only,2class,Mes 3,0.623,0.6223651958942984,1000
SVM,HO_only,3class,Mes 3,0.5781818181818181,0.43792204352141956,1100
RandomForest,HO_only,3class,Mes 3,0.5209090909090909,0.4352986510211925,1100
LogisticRegression,HO_only,3class,Mes 3,0.49454545454545457,0.397627784647798,1100
kNN,HO_only,3class,Mes 3,0.5663636363636364,0.43610467826716404,1100
NaiveBayes,HO_only,3class,Mes 3,0.5263636363636364,0.41445663469730526,1100
SVM,HO_only,2class,Mes 3,0.647,0.6458493645855384,1000
RandomForest,HO_only,2class,Mes 3,0.603,0.6029805460467563,1000
LogisticRegression,HO_only,2class,Mes 3,0.518,0.5179055094798581,1000
kNN,HO_only,2class,Mes 3,0.628,0.6236097845267197,1000
NaiveBayes,HO_only,2class,Mes 3,0.579,0.5709471062369615,1000
SVM,HRS_only,3class,Mes 3,0.5854545454545454,0.42689341774817535,1100
RandomForest,HRS_only,3class,Mes 3,0.4636363636363636,0.3666642761889638,1100
LogisticRegression,HRS_only,3class,Mes 3,0.4918181818181818,0.36086385138389027,1100
kNN,HRS_only,3class,Mes 3,0.5409090909090909,0.4103000057580497,1100
NaiveBayes,HRS_only,3class,Mes 3,0.5372727272727272,0.40083527187147155,1100
SVM,HRS_only,2class,Mes 3,0.641,0.6409910247756194,1000
RandomForest,HRS_only,2class,Mes 3,0.556,0.555955595559556,1000
LogisticRegression,HRS_only,2class,Mes 3,0.537,0.5365546289984675,1000
kNN,HRS_only,2class,Mes 3,0.62,0.6149964944417652,1000
NaiveBayes,HRS_only,2class,Mes 3,0.605,0.6009290775197793,1000
SVM,HV_only,3class,Mes 3,0.5981818181818181,0.44659530625337346,1100
RandomForest,HV_only,3class,Mes 3,0.5309090909090909,0.4469941938567476,1100
LogisticRegression,HV_only,3class,Mes 3,0.5654545454545454,0.43924317054325995,1100
kNN,HV_only,3class,Mes 3,0.5763636363636364,0.44702464679659176,1100
NaiveBayes,HV_only,3class,Mes 3,0.5609090909090909,0.43465647839517274,1100
SVM,HV_only,2class,Mes 3,0.651,0.650521564021145,1000
RandomForest,HV_only,2class,Mes 3,0.61,0.6099438319117954,1000
LogisticRegression,HV_only,2class,Mes 3,0.621,0.6209147058088069,1000
kNN,HV_only,2class,Mes 3,0.641,0.6382620051167285,1000
NaiveBayes,HV_only,2class,Mes 3,0.623,0.6223651958942984,1000
SVM,All_Fractals,3class,Mes 3,0.6609090909090909,0.5009450918116141,1100
RandomForest,All_Fractals,3class,Mes 3,0.6772727272727272,0.5358867552081501,1100
LogisticRegression,All_Fractals,3class,Mes 3,0.6354545454545455,0.5019742162599306,1100
kNN,All_Fractals,3class,Mes 3,0.6536363636363637,0.5075946717031427,1100
NaiveBayes,All_Fractals,3class,Mes 3,0.5381818181818182,0.4868995122654501,1100
SVM,All_Fractals,2class,Mes 3,0.726,0.7259605383175177,1000
RandomForest,All_Fractals,2class,Mes 3,0.752,0.7519513824709643,1000
LogisticRegression,All_Fractals,2class,Mes 3,0.69,0.6897207486738064,1000
kNN,All_Fractals,2class,Mes 3,0.736,0.7335443446805762,1000
NaiveBayes,All_Fractals,2class,Mes 3,0.68,0.6798450450017809,1000
SVM,RS_only,3class,Mes 6,0.5501691093573844,0.3836446991030637,887
RandomForest,RS_only,3class,Mes 6,0.4464487034949267,0.36064180524530487,887
LogisticRegression,RS_only,3class,Mes 6,0.5310033821871477,0.37079545665792946,887
kNN,RS_only,3class,Mes 6,0.5107102593010147,0.3835993995122113,887
NaiveBayes,RS_only,3class,Mes 6,0.5152198421645998,0.3597279169971808,887
SVM,RS_only,2class,Mes 6,0.5985130111524164,0.5981866240472093,807
RandomForest,RS_only,2class,Mes 6,0.5415117719950434,0.5415110679802472,807
LogisticRegression,RS_only,2class,Mes 6,0.5824039653035935,0.5823398331257515,807
kNN,RS_only,2class,Mes 6,0.5786864931846345,0.5748155953635405,807
NaiveBayes,RS_only,2class,Mes 6,0.5749690210656754,0.5748410651667376,807
SVM,Higuchi_only,3class,Mes 6,0.5546786922209695,0.40895304590386417,887
RandomForest,Higuchi_only,3class,Mes 6,0.4983089064261556,0.4019789424061151,887
LogisticRegression,Higuchi_only,3class,Mes 6,0.45208568207440814,0.3676280357913986,887
kNN,Higuchi_only,3class,Mes 6,0.5445321307779031,0.48387181976752264,887
NaiveBayes,Higuchi_only,3class,Mes 6,0.5016910935738444,0.4167231300457372,887
SVM,Higuchi_only,2class,Mes 6,0.6158612143742255,0.6152935314814358,807
RandomForest,Higuchi_only,2class,Mes 6,0.573729863692689,0.573650649334693,807
LogisticRegression,Higuchi_only,2class,Mes 6,0.5080545229244114,0.5074615851736834,807
kNN,Higuchi_only,2class,Mes 6,0.5960346964064436,0.5903578813622661,807
NaiveBayes,Higuchi_only,2class,Mes 6,0.5700123915737298,0.5700018273029777,807
SVM,DFA_only,3class,Mes 6,0.5501691093573844,0.39883339464402584,887
RandomForest,DFA_only,3class,Mes 6,0.46223224351747466,0.3951330510951671,887
LogisticRegression,DFA_only,3class,Mes 6,0.4983089064261556,0.40645723911082815,887
kNN,DFA_only,3class,Mes 6,0.532130777903044,0.4277385313099599,887
NaiveBayes,DFA_only,3class,Mes 6,0.5445321307779031,0.4148119985995405,887
SVM,DFA_only,2class,Mes 6,0.6121437422552665,0.6095320246161267,807
RandomForest,DFA_only,2class,Mes 6,0.5241635687732342,0.5241043785935426,807
LogisticRegression,DFA_only,2class,Mes 6,0.5625774473358116,0.5617052309936257,807
kNN,DFA_only,2class,Mes 6,0.5588599752168525,0.5545915709572594,807
NaiveBayes,DFA_only,2class,Mes 6,0.6158612143742255,0.6158464675749051,807
SVM,Semivariograma_only,3class,Mes 6,0.5828635851183765,0.42182706941044135,887
RandomForest,Semivariograma_only,3class,Mes 6,0.5062006764374295,0.42666062430382184,887
LogisticRegression,Semivariograma_only,3class,Mes 6,0.496054114994363,0.397980353896942,887
kNN,Semivariograma_only,3class,Mes 6,0.5636978579481398,0.44983323490341237,887
NaiveBayes,Semivariograma_only,3class,Mes 6,0.5625704622322435,0.4275258167511236,887
SVM,Semivariograma_only,2class,Mes 6,0.6344485749690211,0.6334557380078062,807
RandomForest,Semivariograma_only,2class,Mes 6,0.5762081784386617,0.5760200319528082,807
LogisticRegression,Semivariograma_only,2class,Mes 6,0.5539033457249071,0.5536559285161196,807
kNN,Semivariograma_only,2class,Mes 6,0.6418835192069393,0.6397571844517729,807
NaiveBayes,Semivariograma_only,2class,Mes 6,0.620817843866171,0.6207893120393121,807
SVM,HO_only,3class,Mes 6,0.560315670800451,0.39105996675616933,887
RandomForest,HO_only,3class,Mes 6,0.4464487034949267,0.37587312565439995,887
LogisticRegression,HO_only,3class,Mes 6,0.5276211950394588,0.36894341337247916,887
kNN,HO_only,3class,Mes 6,0.52423900789177,0.3802510143487467,887
NaiveBayes,HO_only,3class,Mes 6,0.5310033821871477,0.3708133837166276,887
SVM,HO_only,2class,Mes 6,0.6022304832713755,0.6016800210348598,807
RandomForest,HO_only,2class,Mes 6,0.5241635687732342,0.5240751434433782,807
LogisticRegression,HO_only,2class,Mes 6,0.5811648079306072,0.5811127082411912,807
kNN,HO_only,2class,Mes 6,0.59727385377943,0.5932768756716689,807
NaiveBayes,HO_only,2class,Mes 6,0.5774473358116481,0.5766959496564338,807
SVM,HRS_only,3class,Mes 6,0.5434047350620068,0.3792039713533491,887
RandomForest,HRS_only,3class,Mes 6,0.42841037204058624,0.3564829215658711,887
LogisticRegression,HRS_only,3class,Mes 6,0.5163472378804961,0.3678799185853638,887
kNN,HRS_only,3class,Mes 6,0.5073280721533259,0.3536418234473162,887
NaiveBayes,HRS_only,3class,Mes 6,0.5231116121758738,0.3648350380395134,887
SVM,HRS_only,2class,Mes 6,0.5947955390334573,0.5931061067466405,807
RandomForest,HRS_only,2class,Mes 6,0.516728624535316,0.5167100721103645,807
LogisticRegression,HRS_only,2class,Mes 6,0.5675340768277571,0.567212434596206,807
kNN,HRS_only,2class,Mes 6,0.5687732342007435,0.5639355055091115,807
NaiveBayes,HRS_only,2class,Mes 6,0.5848822800495663,0.5844509378655431,807
SVM,HV_only,3class,Mes 6,0.5828635851183765,0.42182706941044135,887
RandomForest,HV_only,3class,Mes 6,0.5062006764374295,0.42666062430382184,887
LogisticRegression,HV_only,3class,Mes 6,0.496054114994363,0.397980353896942,887
kNN,HV_only,3class,Mes 6,0.5636978579481398,0.44983323490341237,887
NaiveBayes,HV_only,3class,Mes 6,0.5625704622322435,0.4275258167511236,887
SVM,HV_only,2class,Mes 6,0.6344485749690211,0.6334557380078062,807
RandomForest,HV_only,2class,Mes 6,0.5762081784386617,0.5760200319528082,807
LogisticRegression,HV_only,2class,Mes 6,0.5539033457249071,0.5536559285161196,807
kNN,HV_only,2class,Mes 6,0.6418835192069393,0.6397571844517729,807
NaiveBayes,HV_only,2class,Mes 6,0.620817843866171,0.6207893120393121,807
SVM,All_Fractals,3class,Mes 6,0.62119503945885,0.4420212114329762,887
RandomForest,All_Fractals,3class,Mes 6,0.6042841037204059,0.4964780718123563,887
LogisticRegression,All_Fractals,3class,Mes 6,0.5862457722660653,0.48956272995396843,887
kNN,All_Fractals,3class,Mes 6,0.5794813979706878,0.438686464877213,887
NaiveBayes,All_Fractals,3class,Mes 6,0.503945885005637,0.46680761504096474,887
SVM,All_Fractals,2class,Mes 6,0.6728624535315985,0.6726407788472176,807
RandomForest,All_Fractals,2class,Mes 6,0.677819083023544,0.677759211706454,807
LogisticRegression,All_Fractals,2class,Mes 6,0.6505576208178439,0.6505141530296329,807
kNN,All_Fractals,2class,Mes 6,0.6480793060718711,0.6475592352926702,807
NaiveBayes,All_Fractals,2class,Mes 6,0.6133828996282528,0.6132112572201056,807
