Accuracy,F1,N,Model,Feature_Subset,Class_Type,Month
0.6879002359285473,0.6878743882322468,2967,RandomForest,Delta,3class,Mixed
0.6858779912369397,0.6858391274710294,2967,SVM,Delta,3class,Mixed
0.6046511627906976,0.6045929505499619,2967,LogReg,Delta,3class,Mixed
0.6831816649814627,0.6802311982851372,2967,kNN,Delta,3class,Mixed
0.5783619817997978,0.5772229975876408,2967,NaiveBayes,Delta,3class,Mixed
0.6879002359285473,0.6878743882322468,2967,RandomForest,Delta,2class,Mixed
0.6858779912369397,0.6858391274710294,2967,SVM,Delta,2class,Mixed
0.6046511627906976,0.6045929505499619,2967,LogReg,Delta,2class,Mixed
0.6831816649814627,0.6802311982851372,2967,kNN,Delta,2class,Mixed
0.5783619817997978,0.5772229975876408,2967,NaiveBayes,Delta,2class,Mixed
0.7630603302999663,0.7630598996509514,2967,RandomForest,Delta+Martinez,3class,Mixed
0.7542972699696663,0.7541604300612319,2967,SVM,Delta+Martinez,3class,Mixed
0.6285810583080553,0.628558737458194,2967,LogReg,Delta+Martinez,3class,Mixed
0.7435119649477587,0.7416183397449446,2967,kNN,Delta+Martinez,3class,Mixed
0.5844287158746209,0.581457153516771,2967,NaiveBayes,Delta+Martinez,3class,Mixed
0.7630603302999663,0.7630598996509514,2967,RandomForest,Delta+Martinez,2class,Mixed
0.7542972699696663,0.7541604300612319,2967,SVM,Delta+Martinez,2class,Mixed
0.6285810583080553,0.628558737458194,2967,LogReg,Delta+Martinez,2class,Mixed
0.7435119649477587,0.7416183397449446,2967,kNN,Delta+Martinez,2class,Mixed
0.5844287158746209,0.581457153516771,2967,NaiveBayes,Delta+Martinez,2class,Mixed
0.7023929895517358,0.7023214365048047,2967,RandomForest,Martinez,3class,Mixed
0.7013818672059319,0.7013606644684942,2967,SVM,Martinez,3class,Mixed
0.6110549376474553,0.611044996264852,2967,LogReg,Martinez,3class,Mixed
0.7034041118975396,0.7014011829772051,2967,kNN,Martinez,3class,Mixed
0.5672396359959555,0.562242548203985,2967,NaiveBayes,Martinez,3class,Mixed
0.7023929895517358,0.7023214365048047,2967,RandomForest,Martinez,2class,Mixed
0.7013818672059319,0.7013606644684942,2967,SVM,Martinez,2class,Mixed
0.6110549376474553,0.611044996264852,2967,LogReg,Martinez,2class,Mixed
0.7034041118975396,0.7014011829772051,2967,kNN,Martinez,2class,Mixed
0.5672396359959555,0.562242548203985,2967,NaiveBayes,Martinez,2class,Mixed
0.8948432760364005,0.8948302658486708,2967,RandomForest,Delta+Spectral,3class,Mixed
0.8388945062352544,0.8388505535021807,2967,SVM,Delta+Spectral,3class,Mixed
0.7495786990225818,0.7495673197133286,2967,LogReg,Delta+Spectral,3class,Mixed
0.7937310414560161,0.7936194240542067,2967,kNN,Delta+Spectral,3class,Mixed
0.6595888102460398,0.6527291058267278,2967,NaiveBayes,Delta+Spectral,3class,Mixed
0.8948432760364005,0.8948302658486708,2967,RandomForest,Delta+Spectral,2class,Mixed
0.8388945062352544,0.8388505535021807,2967,SVM,Delta+Spectral,2class,Mixed
0.7495786990225818,0.7495673197133286,2967,LogReg,Delta+Spectral,2class,Mixed
0.7937310414560161,0.7936194240542067,2967,kNN,Delta+Spectral,2class,Mixed
0.6595888102460398,0.6527291058267278,2967,NaiveBayes,Delta+Spectral,2class,Mixed
0.7336734693877551,0.7335266926493247,980,RandomForest,Delta,3class,Month1
0.7510204081632653,0.7509944808913881,980,SVM,Delta,3class,Month1
0.673469387755102,0.6730281596156413,980,LogReg,Delta,3class,Month1
0.7255102040816327,0.7246429037733386,980,kNN,Delta,3class,Month1
0.6622448979591836,0.6615312377722709,980,NaiveBayes,Delta,3class,Month1
0.7336734693877551,0.7335266926493247,980,RandomForest,Delta,2class,Month1
0.7510204081632653,0.7509944808913881,980,SVM,Delta,2class,Month1
0.673469387755102,0.6730281596156413,980,LogReg,Delta,2class,Month1
0.7255102040816327,0.7246429037733386,980,kNN,Delta,2class,Month1
0.6622448979591836,0.6615312377722709,980,NaiveBayes,Delta,2class,Month1
0.8061224489795918,0.8057989153108052,980,RandomForest,Delta+Martinez,3class,Month1
0.8112244897959183,0.8108934943398431,980,SVM,Delta+Martinez,3class,Month1
0.7428571428571429,0.742289342199181,980,LogReg,Delta+Martinez,3class,Month1
0.7744897959183673,0.7742921487891834,980,kNN,Delta+Martinez,3class,Month1
0.6571428571428571,0.6555807054905423,980,NaiveBayes,Delta+Martinez,3class,Month1
0.8061224489795918,0.8057989153108052,980,RandomForest,Delta+Martinez,2class,Month1
0.8112244897959183,0.8108934943398431,980,SVM,Delta+Martinez,2class,Month1
0.7428571428571429,0.742289342199181,980,LogReg,Delta+Martinez,2class,Month1
0.7744897959183673,0.7742921487891834,980,kNN,Delta+Martinez,2class,Month1
0.6571428571428571,0.6555807054905423,980,NaiveBayes,Delta+Martinez,2class,Month1
0.7857142857142857,0.7854855656176515,980,RandomForest,Martinez,3class,Month1
0.8081632653061225,0.8076216252338947,980,SVM,Martinez,3class,Month1
0.7224489795918367,0.7211062006160439,980,LogReg,Martinez,3class,Month1
0.7887755102040817,0.7887735307806925,980,kNN,Martinez,3class,Month1
0.6408163265306123,0.6367251343746314,980,NaiveBayes,Martinez,3class,Month1
0.7857142857142857,0.7854855656176515,980,RandomForest,Martinez,2class,Month1
0.8081632653061225,0.8076216252338947,980,SVM,Martinez,2class,Month1
0.7224489795918367,0.7211062006160439,980,LogReg,Martinez,2class,Month1
0.7887755102040817,0.7887735307806925,980,kNN,Martinez,2class,Month1
0.6408163265306123,0.6367251343746314,980,NaiveBayes,Martinez,2class,Month1
0.8908163265306123,0.8907069652161315,980,RandomForest,Delta+Spectral,3class,Month1
0.9051020408163265,0.9048832644013562,980,SVM,Delta+Spectral,3class,Month1
0.9326530612244898,0.9325898905680041,980,LogReg,Delta+Spectral,3class,Month1
0.8306122448979592,0.8304081130556981,980,kNN,Delta+Spectral,3class,Month1
0.7326530612244898,0.7300627428552204,980,NaiveBayes,Delta+Spectral,3class,Month1
0.8908163265306123,0.8907069652161315,980,RandomForest,Delta+Spectral,2class,Month1
0.9051020408163265,0.9048832644013562,980,SVM,Delta+Spectral,2class,Month1
0.9326530612244898,0.9325898905680041,980,LogReg,Delta+Spectral,2class,Month1
0.8306122448979592,0.8304081130556981,980,kNN,Delta+Spectral,2class,Month1
0.7326530612244898,0.7300627428552204,980,NaiveBayes,Delta+Spectral,2class,Month1
0.7436363636363637,0.7429702103965319,1100,RandomForest,Delta,3class,Month3
0.7609090909090909,0.7574693651029183,1100,SVM,Delta,3class,Month3
0.7145454545454546,0.71385587084246,1100,LogReg,Delta,3class,Month3
0.740909090909091,0.734022471071232,1100,kNN,Delta,3class,Month3
0.6790909090909091,0.6752907372982484,1100,NaiveBayes,Delta,3class,Month3
0.7436363636363637,0.7429702103965319,1100,RandomForest,Delta,2class,Month3
0.7609090909090909,0.7574693651029183,1100,SVM,Delta,2class,Month3
0.7145454545454546,0.71385587084246,1100,LogReg,Delta,2class,Month3
0.740909090909091,0.734022471071232,1100,kNN,Delta,2class,Month3
0.6790909090909091,0.6752907372982484,1100,NaiveBayes,Delta,2class,Month3
0.8109090909090909,0.8106330220254984,1100,RandomForest,Delta+Martinez,3class,Month3
0.8154545454545454,0.8144484265509095,1100,SVM,Delta+Martinez,3class,Month3
0.7772727272727272,0.777138457798128,1100,LogReg,Delta+Martinez,3class,Month3
0.7818181818181819,0.7779056502821607,1100,kNN,Delta+Martinez,3class,Month3
0.6781818181818182,0.6722487071751777,1100,NaiveBayes,Delta+Martinez,3class,Month3
0.8109090909090909,0.8106330220254984,1100,RandomForest,Delta+Martinez,2class,Month3
0.8154545454545454,0.8144484265509095,1100,SVM,Delta+Martinez,2class,Month3
0.7772727272727272,0.777138457798128,1100,LogReg,Delta+Martinez,2class,Month3
0.7818181818181819,0.7779056502821607,1100,kNN,Delta+Martinez,2class,Month3
0.6781818181818182,0.6722487071751777,1100,NaiveBayes,Delta+Martinez,2class,Month3
0.8154545454545454,0.815359173126615,1100,RandomForest,Martinez,3class,Month3
0.8254545454545454,0.8248616805317837,1100,SVM,Martinez,3class,Month3
0.7563636363636363,0.7562661428207647,1100,LogReg,Martinez,3class,Month3
0.7954545454545454,0.7928646690730632,1100,kNN,Martinez,3class,Month3
0.6654545454545454,0.6564588786030232,1100,NaiveBayes,Martinez,3class,Month3
0.8154545454545454,0.815359173126615,1100,RandomForest,Martinez,2class,Month3
0.8254545454545454,0.8248616805317837,1100,SVM,Martinez,2class,Month3
0.7563636363636363,0.7562661428207647,1100,LogReg,Martinez,2class,Month3
0.7954545454545454,0.7928646690730632,1100,kNN,Martinez,2class,Month3
0.6654545454545454,0.6564588786030232,1100,NaiveBayes,Martinez,2class,Month3
0.9318181818181818,0.9318018931794454,1100,RandomForest,Delta+Spectral,3class,Month3
0.9190909090909091,0.9190892373809376,1100,SVM,Delta+Spectral,3class,Month3
0.9318181818181818,0.9318167730738238,1100,LogReg,Delta+Spectral,3class,Month3
0.8754545454545455,0.8750446713227107,1100,kNN,Delta+Spectral,3class,Month3
0.77,0.7674583777234651,1100,NaiveBayes,Delta+Spectral,3class,Month3
0.9318181818181818,0.9318018931794454,1100,RandomForest,Delta+Spectral,2class,Month3
0.9190909090909091,0.9190892373809376,1100,SVM,Delta+Spectral,2class,Month3
0.9318181818181818,0.9318167730738238,1100,LogReg,Delta+Spectral,2class,Month3
0.8754545454545455,0.8750446713227107,1100,kNN,Delta+Spectral,2class,Month3
0.77,0.7674583777234651,1100,NaiveBayes,Delta+Spectral,2class,Month3
0.7497181510710259,0.7496643783371473,887,RandomForest,Delta,3class,Month6
0.7655016910935738,0.7651766622543529,887,SVM,Delta,3class,Month6
0.6888387824126269,0.6882964094728801,887,LogReg,Delta,3class,Month6
0.7361894024802705,0.7351711783439491,887,kNN,Delta,3class,Month6
0.6482525366403608,0.6465810525025286,887,NaiveBayes,Delta,3class,Month6
0.7497181510710259,0.7496643783371473,887,RandomForest,Delta,2class,Month6
0.7655016910935738,0.7651766622543529,887,SVM,Delta,2class,Month6
0.6888387824126269,0.6882964094728801,887,LogReg,Delta,2class,Month6
0.7361894024802705,0.7351711783439491,887,kNN,Delta,2class,Month6
0.6482525366403608,0.6465810525025286,887,NaiveBayes,Delta,2class,Month6
0.8331454340473506,0.8331435253444507,887,RandomForest,Delta+Martinez,3class,Month6
0.8387824126268321,0.8386216021934261,887,SVM,Delta+Martinez,3class,Month6
0.826381059751973,0.8263790736692256,887,LogReg,Delta+Martinez,3class,Month6
0.8049605411499436,0.8045630940600049,887,kNN,Delta+Martinez,3class,Month6
0.6583990980834273,0.6575564483144822,887,NaiveBayes,Delta+Martinez,3class,Month6
0.8331454340473506,0.8331435253444507,887,RandomForest,Delta+Martinez,2class,Month6
0.8387824126268321,0.8386216021934261,887,SVM,Delta+Martinez,2class,Month6
0.826381059751973,0.8263790736692256,887,LogReg,Delta+Martinez,2class,Month6
0.8049605411499436,0.8045630940600049,887,kNN,Delta+Martinez,2class,Month6
0.6583990980834273,0.6575564483144822,887,NaiveBayes,Delta+Martinez,2class,Month6
0.7812852311161218,0.7812849531246823,887,RandomForest,Martinez,3class,Month6
0.7779030439684329,0.7773551825675016,887,SVM,Martinez,3class,Month6
0.7609921082299888,0.7609237372607254,887,LogReg,Martinez,3class,Month6
0.7474633596392334,0.7473705625063574,887,kNN,Martinez,3class,Month6
0.6482525366403608,0.6461110372272407,887,NaiveBayes,Martinez,3class,Month6
0.7812852311161218,0.7812849531246823,887,RandomForest,Martinez,2class,Month6
0.7779030439684329,0.7773551825675016,887,SVM,Martinez,2class,Month6
0.7609921082299888,0.7609237372607254,887,LogReg,Martinez,2class,Month6
0.7474633596392334,0.7473705625063574,887,kNN,Martinez,2class,Month6
0.6482525366403608,0.6461110372272407,887,NaiveBayes,Martinez,2class,Month6
0.9289740698985344,0.9289726254618667,887,RandomForest,Delta+Spectral,3class,Month6
0.9052987598647125,0.905284193184245,887,SVM,Delta+Spectral,3class,Month6
0.9289740698985344,0.9289650412053863,887,LogReg,Delta+Spectral,3class,Month6
0.8229988726042841,0.8229259515922919,887,kNN,Delta+Spectral,3class,Month6
0.7722660653889515,0.7713217275883194,887,NaiveBayes,Delta+Spectral,3class,Month6
0.9289740698985344,0.9289726254618667,887,RandomForest,Delta+Spectral,2class,Month6
0.9052987598647125,0.905284193184245,887,SVM,Delta+Spectral,2class,Month6
0.9289740698985344,0.9289650412053863,887,LogReg,Delta+Spectral,2class,Month6
0.8229988726042841,0.8229259515922919,887,kNN,Delta+Spectral,2class,Month6
0.7722660653889515,0.7713217275883194,887,NaiveBayes,Delta+Spectral,2class,Month6
