Month,Model,Params,Pooled_Accuracy,Patient_Accuracy_Mean,Patient_Accuracy_Std,Pooled_Baseline,Patient_Baseline
Mes 3,RandomForest,"n_estimators=200, max_depth=None, min_samples_split=2, max_features=sqrt",0.8036363636363636,0.8036363636363635,0.08607127548032452,0.8045454545454546,0.8045454545454545
Mes 3,RandomForest,"n_estimators=100, max_depth=10, min_samples_split=10, max_features=log2",0.8018181818181818,0.801818181818182,0.09175065023301916,0.8045454545454546,0.8045454545454545
Mes 3,RandomForest,"n_estimators=100, max_depth=10, min_samples_split=2, max_features=log2",0.7981818181818182,0.7981818181818182,0.09393157347701447,0.8045454545454546,0.8045454545454545
Mes 3,RandomForest,"n_estimators=300, max_depth=20, min_samples_split=5, max_features=sqrt",0.8118181818181818,0.8118181818181818,0.07759824484681202,0.8045454545454546,0.8045454545454545
Mes 3,RandomForest,"n_estimators=500, max_depth=None, min_samples_split=5, max_features=sqrt",0.8081818181818182,0.8081818181818182,0.08025784892488455,0.8045454545454546,0.8045454545454545
Mes 3,RandomForest,"n_estimators=200, max_depth=None, min_samples_split=10, max_features=sqrt",0.8063636363636364,0.8063636363636364,0.07411182080795937,0.8045454545454546,0.8045454545454545
Mes 3,RandomForest,"n_estimators=500, max_depth=10, min_samples_split=2, max_features=log2",0.8072727272727273,0.8072727272727273,0.08179797730328722,0.8045454545454546,0.8045454545454545
Mes 3,RandomForest,"n_estimators=500, max_depth=20, min_samples_split=2, max_features=log2",0.8045454545454546,0.8045454545454545,0.087196936787504,0.8045454545454546,0.8045454545454545
Mes 3,RandomForest,"n_estimators=300, max_depth=20, min_samples_split=10, max_features=sqrt",0.8072727272727273,0.8072727272727273,0.077598244846812,0.8045454545454546,0.8045454545454545
Mes 3,RandomForest,"n_estimators=200, max_depth=20, min_samples_split=10, max_features=sqrt",0.8063636363636364,0.8063636363636364,0.07411182080795937,0.8045454545454546,0.8045454545454545
Mes 3,RandomForest,"n_estimators=100, max_depth=None, min_samples_split=2, max_features=sqrt",0.8,0.8,0.0837153776961552,0.8045454545454546,0.8045454545454545
Mes 3,RandomForest,"n_estimators=300, max_depth=10, min_samples_split=5, max_features=sqrt",0.8109090909090909,0.8109090909090909,0.07912747326177799,0.8045454545454546,0.8045454545454545
Mes 3,RandomForest,"n_estimators=100, max_depth=30, min_samples_split=2, max_features=log2",0.7963636363636364,0.7963636363636363,0.09771775852207477,0.8045454545454546,0.8045454545454545
Mes 3,RandomForest,"n_estimators=200, max_depth=None, min_samples_split=5, max_features=log2",0.8072727272727273,0.8072727272727273,0.08423697388080273,0.8045454545454546,0.8045454545454545
Mes 3,RandomForest,"n_estimators=300, max_depth=10, min_samples_split=5, max_features=None",0.8009090909090909,0.800909090909091,0.06294428862950457,0.8045454545454546,0.8045454545454545
Mes 3,RandomForest,"n_estimators=100, max_depth=20, min_samples_split=10, max_features=sqrt",0.8036363636363636,0.8036363636363637,0.09312747861253022,0.8045454545454546,0.8045454545454545
Mes 3,RandomForest,"n_estimators=100, max_depth=20, min_samples_split=10, max_features=log2",0.8027272727272727,0.8027272727272727,0.09029794575882923,0.8045454545454546,0.8045454545454545
Mes 3,RandomForest,"n_estimators=100, max_depth=20, min_samples_split=5, max_features=None",0.8009090909090909,0.800909090909091,0.059013935880427214,0.8045454545454546,0.8045454545454545
Mes 3,NaiveBayes,var_smoothing=1e-10,0.58,0.58,0.10918934952451534,0.58,0.58
Mes 3,NaiveBayes,var_smoothing=1e-09,0.58,0.58,0.10918934952451534,0.58,0.58
Mes 3,NaiveBayes,var_smoothing=1e-08,0.58,0.58,0.10918934952451534,0.58,0.58
Mes 3,NaiveBayes,var_smoothing=1e-07,0.58,0.58,0.10918934952451534,0.58,0.58
Mes 3,NaiveBayes,var_smoothing=1e-06,0.58,0.58,0.10918934952451534,0.58,0.58
Mes 3,MLP,"hidden_layer_sizes=(7,), alpha=0.0001, learning_rate_init=0.001",0.5172727272727272,0.5172727272727272,0.18810494696945151,0.5172727272727272,0.5172727272727272
Mes 3,MLP,"hidden_layer_sizes=(7,), alpha=0.0001, learning_rate_init=0.01",0.7118181818181818,0.7118181818181819,0.09286976573907006,0.5172727272727272,0.5172727272727272
Mes 3,MLP,"hidden_layer_sizes=(7,), alpha=0.0001, learning_rate_init=0.1",0.7327272727272728,0.7327272727272728,0.061951727408730256,0.5172727272727272,0.5172727272727272
Mes 3,MLP,"hidden_layer_sizes=(7,), alpha=0.001, learning_rate_init=0.001",0.5172727272727272,0.5172727272727272,0.18810494696945151,0.5172727272727272,0.5172727272727272
Mes 3,MLP,"hidden_layer_sizes=(7,), alpha=0.001, learning_rate_init=0.01",0.7118181818181818,0.7118181818181819,0.09286976573907006,0.5172727272727272,0.5172727272727272
Mes 3,MLP,"hidden_layer_sizes=(7,), alpha=0.001, learning_rate_init=0.1",0.7363636363636363,0.7363636363636363,0.059543719613864794,0.5172727272727272,0.5172727272727272
Mes 3,MLP,"hidden_layer_sizes=(7,), alpha=0.01, learning_rate_init=0.001",0.5172727272727272,0.5172727272727272,0.18810494696945151,0.5172727272727272,0.5172727272727272
Mes 3,MLP,"hidden_layer_sizes=(7,), alpha=0.01, learning_rate_init=0.01",0.7118181818181818,0.7118181818181818,0.09454545454545457,0.5172727272727272,0.5172727272727272
Mes 3,MLP,"hidden_layer_sizes=(7,), alpha=0.01, learning_rate_init=0.1",0.7363636363636363,0.7363636363636363,0.0718699468220086,0.5172727272727272,0.5172727272727272
Mes 3,MLP,"hidden_layer_sizes=(14,), alpha=0.0001, learning_rate_init=0.001",0.5627272727272727,0.5627272727272727,0.05823860864744351,0.5172727272727272,0.5172727272727272
Mes 3,MLP,"hidden_layer_sizes=(14,), alpha=0.0001, learning_rate_init=0.01",0.6854545454545454,0.6854545454545455,0.05651007370152747,0.5172727272727272,0.5172727272727272
Mes 3,MLP,"hidden_layer_sizes=(14,), alpha=0.0001, learning_rate_init=0.1",0.7390909090909091,0.739090909090909,0.07241980460601612,0.5172727272727272,0.5172727272727272
Mes 3,MLP,"hidden_layer_sizes=(14,), alpha=0.001, learning_rate_init=0.001",0.5627272727272727,0.5627272727272727,0.05823860864744351,0.5172727272727272,0.5172727272727272
Mes 3,MLP,"hidden_layer_sizes=(14,), alpha=0.001, learning_rate_init=0.01",0.6854545454545454,0.6854545454545455,0.05651007370152747,0.5172727272727272,0.5172727272727272
Mes 3,MLP,"hidden_layer_sizes=(14,), alpha=0.001, learning_rate_init=0.1",0.7481818181818182,0.7481818181818183,0.0780230946950012,0.5172727272727272,0.5172727272727272
Mes 3,MLP,"hidden_layer_sizes=(14,), alpha=0.01, learning_rate_init=0.001",0.5627272727272727,0.5627272727272727,0.05823860864744351,0.5172727272727272,0.5172727272727272
Mes 3,MLP,"hidden_layer_sizes=(14,), alpha=0.01, learning_rate_init=0.01",0.6890909090909091,0.6890909090909091,0.0520330473500152,0.5172727272727272,0.5172727272727272
Mes 3,MLP,"hidden_layer_sizes=(14,), alpha=0.01, learning_rate_init=0.1",0.7527272727272727,0.7527272727272727,0.07717105610801529,0.5172727272727272,0.5172727272727272
Mes 3,MLP,"hidden_layer_sizes=(28,), alpha=0.0001, learning_rate_init=0.001",0.6118181818181818,0.6118181818181818,0.09467648263236418,0.5172727272727272,0.5172727272727272
Mes 3,MLP,"hidden_layer_sizes=(28,), alpha=0.0001, learning_rate_init=0.01",0.7363636363636363,0.7363636363636363,0.08629183618243114,0.5172727272727272,0.5172727272727272
Mes 3,MLP,"hidden_layer_sizes=(28,), alpha=0.0001, learning_rate_init=0.1",0.74,0.74,0.08597520303663193,0.5172727272727272,0.5172727272727272
Mes 3,MLP,"hidden_layer_sizes=(28,), alpha=0.001, learning_rate_init=0.001",0.6118181818181818,0.6118181818181818,0.09467648263236418,0.5172727272727272,0.5172727272727272
Mes 3,MLP,"hidden_layer_sizes=(28,), alpha=0.001, learning_rate_init=0.01",0.7354545454545455,0.7354545454545454,0.08697867127174537,0.5172727272727272,0.5172727272727272
Mes 3,MLP,"hidden_layer_sizes=(28,), alpha=0.001, learning_rate_init=0.1",0.7472727272727273,0.7472727272727273,0.08260230321164033,0.5172727272727272,0.5172727272727272
Mes 3,MLP,"hidden_layer_sizes=(28,), alpha=0.01, learning_rate_init=0.001",0.6118181818181818,0.6118181818181818,0.09467648263236418,0.5172727272727272,0.5172727272727272
Mes 3,MLP,"hidden_layer_sizes=(28,), alpha=0.01, learning_rate_init=0.01",0.7327272727272728,0.7327272727272727,0.08669315128277917,0.5172727272727272,0.5172727272727272
Mes 3,MLP,"hidden_layer_sizes=(28,), alpha=0.01, learning_rate_init=0.1",0.7336363636363636,0.7336363636363636,0.09362312351229447,0.5172727272727272,0.5172727272727272
Mes 3,MLP,"hidden_layer_sizes=(7, 7), alpha=0.0001, learning_rate_init=0.001",0.3881818181818182,0.38818181818181813,0.10850600775536931,0.5172727272727272,0.5172727272727272
Mes 3,MLP,"hidden_layer_sizes=(7, 7), alpha=0.0001, learning_rate_init=0.01",0.6754545454545454,0.6754545454545455,0.08703566287201042,0.5172727272727272,0.5172727272727272
Mes 3,MLP,"hidden_layer_sizes=(7, 7), alpha=0.0001, learning_rate_init=0.1",0.6318181818181818,0.6318181818181818,0.10020639856840274,0.5172727272727272,0.5172727272727272
Mes 3,MLP,"hidden_layer_sizes=(7, 7), alpha=0.001, learning_rate_init=0.001",0.3881818181818182,0.38818181818181813,0.10850600775536931,0.5172727272727272,0.5172727272727272
Mes 3,MLP,"hidden_layer_sizes=(7, 7), alpha=0.001, learning_rate_init=0.01",0.6718181818181819,0.6718181818181819,0.0909727050155773,0.5172727272727272,0.5172727272727272
Mes 3,MLP,"hidden_layer_sizes=(7, 7), alpha=0.001, learning_rate_init=0.1",0.6381818181818182,0.6381818181818183,0.10027235638273119,0.5172727272727272,0.5172727272727272
Mes 3,MLP,"hidden_layer_sizes=(7, 7), alpha=0.01, learning_rate_init=0.001",0.37545454545454543,0.3754545454545455,0.08736737292170155,0.5172727272727272,0.5172727272727272
Mes 3,MLP,"hidden_layer_sizes=(7, 7), alpha=0.01, learning_rate_init=0.01",0.6863636363636364,0.6863636363636363,0.08624393618641035,0.5172727272727272,0.5172727272727272
Mes 3,MLP,"hidden_layer_sizes=(7, 7), alpha=0.01, learning_rate_init=0.1",0.6327272727272727,0.6327272727272728,0.09855987817959629,0.5172727272727272,0.5172727272727272
Mes 3,MLP,"hidden_layer_sizes=(14, 7), alpha=0.0001, learning_rate_init=0.001",0.509090909090909,0.509090909090909,0.08537714095908289,0.5172727272727272,0.5172727272727272
Mes 3,MLP,"hidden_layer_sizes=(14, 7), alpha=0.0001, learning_rate_init=0.01",0.740909090909091,0.740909090909091,0.06064392756421061,0.5172727272727272,0.5172727272727272
Mes 3,MLP,"hidden_layer_sizes=(14, 7), alpha=0.0001, learning_rate_init=0.1",0.6154545454545455,0.6154545454545455,0.15305700337126601,0.5172727272727272,0.5172727272727272
Mes 3,MLP,"hidden_layer_sizes=(14, 7), alpha=0.001, learning_rate_init=0.001",0.5081818181818182,0.5081818181818181,0.08505710284157139,0.5172727272727272,0.5172727272727272
Mes 3,MLP,"hidden_layer_sizes=(14, 7), alpha=0.001, learning_rate_init=0.01",0.7372727272727273,0.7372727272727272,0.06539138366674342,0.5172727272727272,0.5172727272727272
Mes 3,MLP,"hidden_layer_sizes=(14, 7), alpha=0.001, learning_rate_init=0.1",0.6290909090909091,0.6290909090909091,0.1347664033469558,0.5172727272727272,0.5172727272727272
Mes 3,MLP,"hidden_layer_sizes=(14, 7), alpha=0.01, learning_rate_init=0.001",0.5072727272727273,0.5072727272727273,0.08083244582171605,0.5172727272727272,0.5172727272727272
Mes 3,MLP,"hidden_layer_sizes=(14, 7), alpha=0.01, learning_rate_init=0.01",0.7118181818181818,0.7118181818181818,0.0551182050589968,0.5172727272727272,0.5172727272727272
Mes 3,MLP,"hidden_layer_sizes=(14, 7), alpha=0.01, learning_rate_init=0.1",0.6418181818181818,0.6418181818181818,0.12822371977933567,0.5172727272727272,0.5172727272727272
Mes 3,DecisionTree,"max_depth=None, min_samples_split=5, max_features=log2, criterion=gini",0.6890909090909091,0.6890909090909092,0.06425671653480833,0.72,0.72
Mes 3,DecisionTree,"max_depth=None, min_samples_split=2, max_features=None, criterion=entropy",0.740909090909091,0.740909090909091,0.08131156281817417,0.72,0.72
Mes 3,DecisionTree,"max_depth=None, min_samples_split=2, max_features=sqrt, criterion=entropy",0.6954545454545454,0.6954545454545454,0.07035917298505215,0.72,0.72
Mes 3,DecisionTree,"max_depth=None, min_samples_split=20, max_features=None, criterion=gini",0.7218181818181818,0.7218181818181818,0.06294428862950459,0.72,0.72
Mes 3,DecisionTree,"max_depth=10, min_samples_split=5, max_features=log2, criterion=entropy",0.6972727272727273,0.6972727272727273,0.08835503138049318,0.72,0.72
Mes 3,DecisionTree,"max_depth=None, min_samples_split=5, max_features=sqrt, criterion=entropy",0.6927272727272727,0.6927272727272727,0.0667176113887592,0.72,0.72
Mes 3,DecisionTree,"max_depth=20, min_samples_split=20, max_features=log2, criterion=entropy",0.6872727272727273,0.6872727272727273,0.08495988358149874,0.72,0.72
Mes 3,DecisionTree,"max_depth=10, min_samples_split=20, max_features=sqrt, criterion=gini",0.6863636363636364,0.6863636363636364,0.076763024845762,0.72,0.72
Mes 3,DecisionTree,"max_depth=5, min_samples_split=2, max_features=sqrt, criterion=gini",0.68,0.6799999999999999,0.08983915838967599,0.72,0.72
Mes 3,DecisionTree,"max_depth=5, min_samples_split=5, max_features=None, criterion=gini",0.7081818181818181,0.7081818181818181,0.07189294152642745,0.72,0.72
Mes 3,DecisionTree,"max_depth=20, min_samples_split=10, max_features=None, criterion=gini",0.7181818181818181,0.7181818181818181,0.061991734986299334,0.72,0.72
Mes 3,DecisionTree,"max_depth=10, min_samples_split=5, max_features=sqrt, criterion=gini",0.7072727272727273,0.7072727272727273,0.07674148941965561,0.72,0.72
Mes 3,DecisionTree,"max_depth=5, min_samples_split=20, max_features=sqrt, criterion=gini",0.6718181818181819,0.6718181818181818,0.09361429572258909,0.72,0.72
Mes 3,DecisionTree,"max_depth=5, min_samples_split=2, max_features=None, criterion=gini",0.7063636363636364,0.7063636363636363,0.06944883365376102,0.72,0.72
Mes 3,DecisionTree,"max_depth=10, min_samples_split=5, max_features=sqrt, criterion=entropy",0.6972727272727273,0.6972727272727273,0.07427890260296544,0.72,0.72
Mes 3,DecisionTree,"max_depth=10, min_samples_split=2, max_features=log2, criterion=gini",0.6781818181818182,0.6781818181818181,0.08403069096939157,0.72,0.72
Mes 3,DecisionTree,"max_depth=5, min_samples_split=10, max_features=sqrt, criterion=gini",0.6772727272727272,0.6772727272727274,0.07904387316103328,0.72,0.72
Mes 3,DecisionTree,"max_depth=5, min_samples_split=20, max_features=None, criterion=gini",0.7054545454545454,0.7054545454545454,0.06513812406426495,0.72,0.72
Mes 3,DecisionTree,"max_depth=20, min_samples_split=2, max_features=None, criterion=entropy",0.740909090909091,0.740909090909091,0.08131156281817417,0.72,0.72
Mes 3,DecisionTree,"max_depth=None, min_samples_split=10, max_features=sqrt, criterion=entropy",0.6809090909090909,0.6809090909090909,0.07570058462387654,0.72,0.72
Mes 3,DecisionTree,"max_depth=10, min_samples_split=10, max_features=None, criterion=gini",0.7181818181818181,0.7181818181818181,0.061991734986299334,0.72,0.72
Mes 3,DecisionTree,"max_depth=20, min_samples_split=20, max_features=sqrt, criterion=entropy",0.7009090909090909,0.7009090909090909,0.0709090909090909,0.72,0.72
Mes 3,DecisionTree,"max_depth=5, min_samples_split=10, max_features=log2, criterion=entropy",0.6654545454545454,0.6654545454545455,0.08641625191502651,0.72,0.72
Mes 3,DecisionTree,"max_depth=20, min_samples_split=20, max_features=log2, criterion=gini",0.6745454545454546,0.6745454545454544,0.07690285811838765,0.72,0.72
Mes 3,DecisionTree,"max_depth=None, min_samples_split=10, max_features=None, criterion=gini",0.7181818181818181,0.7181818181818181,0.061991734986299334,0.72,0.72
Mes 3,DecisionTree,"max_depth=5, min_samples_split=5, max_features=log2, criterion=entropy",0.6736363636363636,0.6736363636363636,0.1125732085032992,0.72,0.72
Mes 3,DecisionTree,"max_depth=10, min_samples_split=10, max_features=log2, criterion=entropy",0.6736363636363636,0.6736363636363636,0.10153369346719791,0.72,0.72
Mes 3,DecisionTree,"max_depth=5, min_samples_split=5, max_features=None, criterion=entropy",0.7281818181818182,0.7281818181818182,0.08077107738633156,0.72,0.72
Mes 3,DecisionTree,"max_depth=10, min_samples_split=20, max_features=log2, criterion=entropy",0.6890909090909091,0.6890909090909091,0.08374498874855658,0.72,0.72
Mes 3,DecisionTree,"max_depth=20, min_samples_split=5, max_features=sqrt, criterion=entropy",0.6927272727272727,0.6927272727272727,0.0667176113887592,0.72,0.72
Mes 3,DecisionTree,"max_depth=10, min_samples_split=2, max_features=None, criterion=gini",0.7190909090909091,0.7190909090909091,0.057596487496207834,0.72,0.72
Mes 3,DecisionTree,"max_depth=None, min_samples_split=2, max_features=sqrt, criterion=gini",0.6963636363636364,0.6963636363636363,0.08678842898081908,0.72,0.72
Mes 3,DecisionTree,"max_depth=20, min_samples_split=20, max_features=None, criterion=gini",0.7218181818181818,0.7218181818181818,0.06294428862950459,0.72,0.72
Mes 3,DecisionTree,"max_depth=5, min_samples_split=2, max_features=None, criterion=entropy",0.73,0.7300000000000001,0.08344840539900307,0.72,0.72
Mes 3,DecisionTree,"max_depth=10, min_samples_split=20, max_features=log2, criterion=gini",0.6763636363636364,0.6763636363636364,0.07493247649089045,0.72,0.72
Mes 3,DecisionTree,"max_depth=20, min_samples_split=2, max_features=sqrt, criterion=entropy",0.6954545454545454,0.6954545454545454,0.07035917298505215,0.72,0.72
Mes 3,DecisionTree,"max_depth=10, min_samples_split=5, max_features=None, criterion=entropy",0.7354545454545455,0.7354545454545455,0.07979312093633341,0.72,0.72
Mes 3,DecisionTree,"max_depth=5, min_samples_split=10, max_features=None, criterion=gini",0.71,0.71,0.06608284307413184,0.72,0.72
Mes 3,DecisionTree,"max_depth=10, min_samples_split=20, max_features=None, criterion=entropy",0.7163636363636363,0.7163636363636364,0.08260230321164032,0.72,0.72
Mes 3,DecisionTree,"max_depth=10, min_samples_split=5, max_features=None, criterion=gini",0.7245454545454545,0.7245454545454544,0.05504318364807491,0.72,0.72
Mes 3,DecisionTree,"max_depth=5, min_samples_split=5, max_features=sqrt, criterion=entropy",0.6636363636363637,0.6636363636363637,0.09337562992806425,0.72,0.72
Mes 3,DecisionTree,"max_depth=None, min_samples_split=20, max_features=sqrt, criterion=entropy",0.7009090909090909,0.7009090909090909,0.0709090909090909,0.72,0.72
Mes 3,DecisionTree,"max_depth=10, min_samples_split=2, max_features=log2, criterion=entropy",0.7009090909090909,0.7009090909090909,0.04753424168145951,0.72,0.72
Mes 3,DecisionTree,"max_depth=5, min_samples_split=20, max_features=sqrt, criterion=entropy",0.6745454545454546,0.6745454545454546,0.08149430847641805,0.72,0.72
Mes 3,DecisionTree,"max_depth=None, min_samples_split=5, max_features=sqrt, criterion=gini",0.7081818181818181,0.7081818181818182,0.07292019865511085,0.72,0.72
Mes 3,DecisionTree,"max_depth=10, min_samples_split=2, max_features=sqrt, criterion=entropy",0.6963636363636364,0.6963636363636363,0.06865893668545164,0.72,0.72
Mes 3,DecisionTree,"max_depth=None, min_samples_split=10, max_features=None, criterion=entropy",0.7436363636363637,0.7436363636363637,0.06546717049959576,0.72,0.72
Mes 3,DecisionTree,"max_depth=5, min_samples_split=10, max_features=sqrt, criterion=entropy",0.6654545454545454,0.6654545454545455,0.0850668186566515,0.72,0.72
Mes 3,DecisionTree,"max_depth=10, min_samples_split=2, max_features=sqrt, criterion=gini",0.6990909090909091,0.699090909090909,0.08688360219614813,0.72,0.72
Mes 3,DecisionTree,"max_depth=5, min_samples_split=2, max_features=log2, criterion=entropy",0.6618181818181819,0.6618181818181817,0.09768392273209844,0.72,0.72
Mes 6,LogisticRegression,"C=0.01, solver=lbfgs",0.7711386696730552,0.771045119758355,0.06422675366774784,0.8331454340473506,0.8332083738333739
Mes 6,LogisticRegression,"C=0.01, solver=newton-cholesky",0.7711386696730552,0.771045119758355,0.06422675366774784,0.8331454340473506,0.8332083738333739
Mes 6,LogisticRegression,"C=0.01, solver=saga",0.7711386696730552,0.771045119758355,0.06422675366774784,0.8331454340473506,0.8332083738333739
Mes 6,LogisticRegression,"C=0.05, solver=lbfgs",0.8173618940248027,0.8172894573629867,0.053649106163209954,0.8331454340473506,0.8332083738333739
Mes 6,LogisticRegression,"C=0.05, solver=newton-cholesky",0.8173618940248027,0.8172894573629867,0.053649106163209954,0.8331454340473506,0.8332083738333739
