Accuracy,F1,N,Window_Samples,Window_Sec,Month,Class_Type,N_Features
0.7174845164363983,0.7174839393235086,4198,500,2.0,Mixed,3class,5
0.7174845164363983,0.7174839393235086,4198,500,2.0,Mixed,2class,5
0.7228221742260619,0.7224625432253438,1389,500,2.0,Month1,3class,5
0.7228221742260619,0.7224625432253438,1389,500,2.0,Month1,2class,5
0.8057692307692308,0.8055447794565638,1560,500,2.0,Month3,3class,5
0.8057692307692308,0.8055447794565638,1560,500,2.0,Month3,2class,5
0.7477982385908727,0.7477956518812681,1249,500,2.0,Month6,3class,5
0.7477982385908727,0.7477956518812681,1249,500,2.0,Month6,2class,5
0.704,0.7039965204488934,3500,600,2.4,Mixed,3class,5
0.704,0.7039965204488934,3500,600,2.4,Mixed,2class,5
0.7359792924935289,0.7358563921063921,1159,600,2.4,Month1,3class,5
0.7359792924935289,0.7358563921063921,1159,600,2.4,Month1,2class,5
0.8046153846153846,0.8043486504678568,1300,600,2.4,Month3,3class,5
0.8046153846153846,0.8043486504678568,1300,600,2.4,Month3,2class,5
0.7617675312199808,0.7617655526764556,1041,600,2.4,Month6,3class,5
0.7617675312199808,0.7617655526764556,1041,600,2.4,Month6,2class,5
0.7111560498820357,0.7111496186537767,2967,700,2.8,Mixed,3class,5
0.7111560498820357,0.7111496186537767,2967,700,2.8,Mixed,2class,5
0.7408163265306122,0.7404661016949152,980,700,2.8,Month1,3class,5
0.7408163265306122,0.7404661016949152,980,700,2.8,Month1,2class,5
0.8018181818181818,0.8015288403921088,1100,700,2.8,Month3,3class,5
0.8018181818181818,0.8015288403921088,1100,700,2.8,Month3,2class,5
0.7733934611048479,0.7733830918494584,887,700,2.8,Month6,3class,5
0.7733934611048479,0.7733830918494584,887,700,2.8,Month6,2class,5
0.7065637065637066,0.7065635315892915,2590,800,3.2,Mixed,3class,5
0.7065637065637066,0.7065635315892915,2590,800,3.2,Mixed,2class,5
0.712280701754386,0.7119934930493936,855,800,3.2,Month1,3class,5
0.712280701754386,0.7119934930493936,855,800,3.2,Month1,2class,5
0.8,0.7998297162516724,960,800,3.2,Month3,3class,5
0.8,0.7998297162516724,960,800,3.2,Month3,2class,5
0.7458064516129033,0.7456014503258401,775,800,3.2,Month6,3class,5
0.7458064516129033,0.7456014503258401,775,800,3.2,Month6,2class,5
0.7077388672719412,0.7077191450289442,2313,900,3.6,Mixed,3class,5
0.7077388672719412,0.7077191450289442,2313,900,3.6,Mixed,2class,5
0.7159685863874345,0.7156641300973638,764,900,3.6,Month1,3class,5
0.7159685863874345,0.7156641300973638,764,900,3.6,Month1,2class,5
0.8104651162790698,0.810249350600128,860,900,3.6,Month3,3class,5
0.8104651162790698,0.810249350600128,860,900,3.6,Month3,2class,5
0.706821480406386,0.7068060400761751,689,900,3.6,Month6,3class,5
0.706821480406386,0.7068060400761751,689,900,3.6,Month6,2class,5
0.7049571020019065,0.7049420193080396,2098,1000,4.0,Mixed,3class,5
0.7049571020019065,0.7049420193080396,2098,1000,4.0,Mixed,2class,5
0.7031700288184438,0.7029702147463599,694,1000,4.0,Month1,3class,5
0.7031700288184438,0.7029702147463599,694,1000,4.0,Month1,2class,5
0.7730769230769231,0.7727179190009204,780,1000,4.0,Month3,3class,5
0.7730769230769231,0.7727179190009204,780,1000,4.0,Month3,2class,5
0.7211538461538461,0.7211538461538461,624,1000,4.0,Month6,3class,5
0.7211538461538461,0.7211538461538461,624,1000,4.0,Month6,2class,5
0.6898197242841994,0.6898175441970149,1886,1100,4.4,Mixed,3class,5
0.6898197242841994,0.6898175441970149,1886,1100,4.4,Mixed,2class,5
0.6864,0.6855232892466936,625,1100,4.4,Month1,3class,5
0.6864,0.6855232892466936,625,1100,4.4,Month1,2class,5
0.7785714285714286,0.7784081741854714,700,1100,4.4,Month3,3class,5
0.7785714285714286,0.7784081741854714,700,1100,4.4,Month3,2class,5
0.7290552584670231,0.7290337341434273,561,1100,4.4,Month6,3class,5
0.7290552584670231,0.7290337341434273,561,1100,4.4,Month6,2class,5
0.706326175275682,0.7063213279976286,1723,1200,4.8,Mixed,3class,5
0.706326175275682,0.7063213279976286,1723,1200,4.8,Mixed,2class,5
0.7087719298245614,0.707851152910373,570,1200,4.8,Month1,3class,5
0.7087719298245614,0.707851152910373,570,1200,4.8,Month1,2class,5
0.7890625,0.7887897210997601,640,1200,4.8,Month3,3class,5
0.7890625,0.7887897210997601,640,1200,4.8,Month3,2class,5
0.7192982456140351,0.7191691250266111,513,1200,4.8,Month6,3class,5
0.7192982456140351,0.7191691250266111,513,1200,4.8,Month6,2class,5
0.6796778190830235,0.6796422783829429,1614,1300,5.2,Mixed,3class,5
0.6796778190830235,0.6796422783829429,1614,1300,5.2,Mixed,2class,5
0.7172284644194756,0.7169415902859931,534,1300,5.2,Month1,3class,5
0.7172284644194756,0.7169415902859931,534,1300,5.2,Month1,2class,5
0.735,0.7346749768466372,600,1300,5.2,Month3,3class,5
0.735,0.7346749768466372,600,1300,5.2,Month3,2class,5
0.70625,0.7060956491907642,480,1300,5.2,Month6,3class,5
0.70625,0.7060956491907642,480,1300,5.2,Month6,2class,5
0.6504455106237149,0.6504374640614253,1459,1400,5.6,Mixed,3class,5
0.6504455106237149,0.6504374640614253,1459,1400,5.6,Mixed,2class,5
0.6854166666666667,0.6844181459566074,480,1400,5.6,Month1,3class,5
0.6854166666666667,0.6844181459566074,480,1400,5.6,Month1,2class,5
0.7518518518518519,0.7514392888058368,540,1400,5.6,Month3,3class,5
0.7518518518518519,0.7514392888058368,540,1400,5.6,Month3,2class,5
0.683371298405467,0.6833450092109701,439,1400,5.6,Month6,3class,5
0.683371298405467,0.6833450092109701,439,1400,5.6,Month6,2class,5
0.6645161290322581,0.664477335800185,1395,1500,6.0,Mixed,3class,5
0.6645161290322581,0.664477335800185,1395,1500,6.0,Mixed,2class,5
0.7211328976034859,0.7201646090534979,459,1500,6.0,Month1,3class,5
0.7211328976034859,0.7201646090534979,459,1500,6.0,Month1,2class,5
0.7384615384615385,0.738213693437574,520,1500,6.0,Month3,3class,5
0.7384615384615385,0.738213693437574,520,1500,6.0,Month3,2class,5
0.6850961538461539,0.685050655662858,416,1500,6.0,Month6,3class,5
0.6850961538461539,0.685050655662858,416,1500,6.0,Month6,2class,5
0.6578743211792087,0.6578446674054113,1289,1600,6.4,Mixed,3class,5
0.6578743211792087,0.6578446674054113,1289,1600,6.4,Mixed,2class,5
0.6752941176470588,0.674499400612707,425,1600,6.4,Month1,3class,5
0.6752941176470588,0.674499400612707,425,1600,6.4,Month1,2class,5
0.75,0.7499305362600722,480,1600,6.4,Month3,3class,5
0.75,0.7499305362600722,480,1600,6.4,Month3,2class,5
0.6640625,0.6640419947506562,384,1600,6.4,Month6,3class,5
0.6640625,0.6640419947506562,384,1600,6.4,Month6,2class,5
0.6669387755102041,0.666901262016347,1225,1700,6.8,Mixed,3class,5
0.6669387755102041,0.666901262016347,1225,1700,6.8,Mixed,2class,5
0.691358024691358,0.6907471548738249,405,1700,6.8,Month1,3class,5
0.691358024691358,0.6907471548738249,405,1700,6.8,Month1,2class,5
0.7758241758241758,0.7757711038961039,455,1700,6.8,Month3,3class,5
0.7758241758241758,0.7757711038961039,455,1700,6.8,Month3,2class,5
0.6328767123287671,0.632542973915134,365,1700,6.8,Month6,3class,5
0.6328767123287671,0.632542973915134,365,1700,6.8,Month6,2class,5
0.6669611307420494,0.6668672813124725,1132,1800,7.2,Mixed,3class,5
0.6669611307420494,0.6668672813124725,1132,1800,7.2,Mixed,2class,5
0.6506666666666666,0.6503085826553057,375,1800,7.2,Month1,3class,5
0.6506666666666666,0.6503085826553057,375,1800,7.2,Month1,2class,5
0.7761904761904762,0.7761092459849379,420,1800,7.2,Month3,3class,5
0.7761904761904762,0.7761092459849379,420,1800,7.2,Month3,2class,5
0.6261127596439169,0.6261094674556213,337,1800,7.2,Month6,3class,5
0.6261127596439169,0.6261094674556213,337,1800,7.2,Month6,2class,5
0.6706976744186046,0.670695109794257,1075,1900,7.6,Mixed,3class,5
0.6706976744186046,0.670695109794257,1075,1900,7.6,Mixed,2class,5
0.6704225352112676,0.6691519105312209,355,1900,7.6,Month1,3class,5
0.6704225352112676,0.6691519105312209,355,1900,7.6,Month1,2class,5
0.7975,0.7974886087342413,400,1900,7.6,Month3,3class,5
0.7975,0.7974886087342413,400,1900,7.6,Month3,2class,5
0.64375,0.6436943272386311,320,1900,7.6,Month6,3class,5
0.64375,0.6436943272386311,320,1900,7.6,Month6,2class,5
0.666015625,0.6659531849138671,1024,2000,8.0,Mixed,3class,5
0.666015625,0.6659531849138671,1024,2000,8.0,Mixed,2class,5
0.6941176470588235,0.6937361419068737,340,2000,8.0,Month1,3class,5
0.6941176470588235,0.6937361419068737,340,2000,8.0,Month1,2class,5
0.7473684210526316,0.7463566581377239,380,2000,8.0,Month3,3class,5
0.7473684210526316,0.7463566581377239,380,2000,8.0,Month3,2class,5
0.6710526315789473,0.670995670995671,304,2000,8.0,Month6,3class,5
0.6710526315789473,0.670995670995671,304,2000,8.0,Month6,2class,5
